date,headline
2021-01-01,"On fraud claims, Trump-appointed prosecutor acknowledges reality"
2021-01-01,"Ahead of Trump impeachment vote, Republicans splinter"
2021-01-01,The Capitol rioters' assault on democracy has its roots in the states
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 12, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 12, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 12, 2021"
2021-01-01,"Black people tried to tell y'all about Trump. So yeah, we've got jokes now."
2021-01-01,"Transcript: All In with Chris Hayes, January 12, 2021"
2021-01-01,"Transcript: The ReidOut, January 12, 2021"
2021-01-01,"Transcript: The Beat with Ari Melber, January 12, 2021"
2021-01-01,"Tuesday's Mini-Report, 1.12.21"
2021-01-01,"Following Capitol attack, Trump insists he bears no responsibility"
2021-01-01,"Author Jennifer Folsom: I nailed a job transition amid Covid-19, and you can too"
2021-01-01,"Tuesday's Campaign Round-Up, 1.12.21"
2021-01-01,Corporate wallets start closing in the wake of Capitol attack
2021-01-01,"Trump offers Medal of Freedom to NFL coach, who declines honor"
2021-01-01,Transcript: An Election and an Insurrection
2021-01-01,"Following attack on Capitol, Trump gets hit in the wallet"
2021-01-01,Why Kevin McCarthy's censure offer isn't being taken seriously
2021-01-01,Pence appears to close the door on the 25th Amendment option
2021-01-01,"After the Capitol riot, Republicans need to atone for spreading Trump's lies"
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 11, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 11, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 11, 2021"
2021-01-01,"Transcript: All In with Chris Hayes, January 11, 2021"
2021-01-01,"Transcript: The ReidOut, January 11, 2021"
2021-01-01,"Transcript: The Beat with Ari Melber, January 11, 2021"
2021-01-01,"Monday's Mini-Report, 1.11.21"
2021-01-01,Impeaching Trump again has no downside – for Democrats or America
2021-01-01,One of Trump's most significant failures is a massive win for the climate movement
2021-01-01,"As he exits, Trump has new reason to fear possible prosecution"
2021-01-01,"Monday's Campaign Round-Up, 1.11.21"
2021-01-01,Why Trump fired a federal prosecutor in Georgia last week
2021-01-01,"Cruz, Hawley remain political pariahs following attack on Capitol"
2021-01-01,GOP's post-policy problem stands in the way of post-Trump shift
2021-01-01,GOP's Roy Blunt: Trump is 'unlikely' to commit more misdeeds
2021-01-01,The problem with the GOP pushback against Trump's impeachment
2021-01-01,"As impeachment drive advances, Trump finds new GOP critics"
2021-01-01,Trump's latest betrayal of America sends a clear message to foreign adversaries
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 8, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 8, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 8, 2021"
2021-01-01,The Pro-Trump insurrection at the Capitol is over. The threat posed by its leaders isn't.
2021-01-01,"Transcript: All In with Chris Hayes, January 8, 2021"
2021-01-01,"Transcript: The ReidOut, January 8, 2021"
2021-01-01,Trump's Twitter reign of terror is over. But his impact on social media isn't.
2021-01-01,"Transcript: The Beat with Ari Melber, January 8, 2021"
2021-01-01,"Friday's Mini-Report, 1.8.21"
2021-01-01,Alaska's Murkowski 'sincerely' questions commitment to GOP
2021-01-01,"Member of Dem leadership: Cruz, Hawley should resign"
2021-01-01,Liz Plank: Why traditional masculinity remains a barrier for us all
2021-01-01,Capitol attack does fresh harm to the United States' global standing
2021-01-01,"Friday's Campaign Round-Up, 1.8.21"
2021-01-01,"Facing backlash, Missouri's Hawley pressed to resign in disgrace"
2021-01-01,"Two days after Capitol attack, new impeachment plan takes shape"
2021-01-01,A dilemma for members of Team Trump: will anyone hire them?
2021-01-01,Job recovery vanishes as economy shed jobs in December
2021-01-01,Why Trump's grudging 'concession' speech was literally unbelievable
2021-01-01,White rioters at the Capitol got police respect. Black protestors got rubber bullets.
2021-01-01,Congress should impeach Trump for the Capitol riot. So why is it heading into recess?
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 7, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 7, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 7, 2021"
2021-01-01,"Transcript: The ReidOut, January 7, 2021"
